"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"Azelaic acid",3.9094245418491,0.618784416648506,0.39094245418491,0.287720645557614,0.683314218200309,10.0850250713869,2.00000049039155,1.49999994968846,243.481310395919,4095.99657181615,0.0182779204170114,0.0384430202724953,0.999989112197554,0.997658509487643,0.837325974680892,0.0199577476340719,1,1,-0.483664403346951,"t10"
"beta-Alanine",4.18471735029734,1.10276737104716,0.418471735029734,0.363122269492578,0.479418179571433,9.62323859653504,2.00000050965047,1.4999999562482,232.33246557944,4095.99701879104,0.00852703839446868,0.0357326057268016,0.924637144953648,0.961591217282851,0.912779018759372,0.0264385669734964,1,1,-0.72159214754526,"t10"
"beta-Estradiol",2.98946576530632,0.886362397000092,0.298946576530632,0.00819713311809955,-0.178542509795111,16.1087800968045,2.00000053504041,1.49999996895923,388.91196061642,4095.99788490944,0.9739815104457,0.908373462252923,0.999999999546393,0.999974471441132,0.999978261074528,0.979865766631941,1,1,0.311429800864393,NA
"beta-Hydroxy beta-Methylbutyric acid (HMB)",2.99803415226749,0.969268168979079,0.299803415226749,-0.104124810552235,-0.00333736268605785,16.0625696748921,2.00000046255535,1.49999996753494,387.796311209857,4095.99778785959,0.480294787098303,0.494547018008838,0.54759898726866,0.614099384424086,0.998880792501006,0.999944819403403,1,1,0.304024387724178,NA
"beta-Hydroxybutyrate (3-Hydroxybutyrate)",2.90187094569898,0.859551359739989,0.290187094569898,0.393215420387305,0.671868986788161,15.7246958605055,2.00000065584646,1.49999994892748,379.639066622372,4095.99651996359,0.407060027636876,0.412376321562352,0.414385971118322,0.452894161657929,0.589109548421206,0.316037252220123,1,1,0.387135511994692,NA
"Betaine",2.67400482309794,0.932996345158289,0.267400482309794,0.0779001635849923,0.120527308503668,15.7186732362827,2.67721412051842,0.620977340487583,359.982028602294,0.00182670093391323,0.990505259180841,0.97998627410129,0.999665999028871,0.999750817016327,0.999999999935295,0.995302040415123,1,1,0.584073720570803,NA
"Butyryl-CoA",3.08524293315496,2.04901069263477,0.308524293315496,3.63239639647959,4.05330599424915,0.0675503622814296,15.8692330730954,-0.029384939565787,0.355014562781193,0.0000000365579762647452,4.38879799082205e-17,0.0000392022368502392,0.00000000114669009180577,7.02985364773461e-11,4.05488483522993e-15,8.73373795936412e-18,1.11036589167798e-14,0.00995736815996075,0.22865231887937,"t0.5"
"cAMP",3.17517966948936,1.01308887078261,0.317517966948936,-0.25521591943577,-0.0423242853789294,15.9308710461823,2.19934481824584,0.712911605119042,378.741556821674,0.00843076068477742,0.0288600224059973,0.0216466408739697,0.284207758993244,0.0996138353609319,0.0395319416798412,0.999159848763587,1,1,0.150922555732928,"t3"
"Capric acid",3.62389639329346,1.11614479811091,0.362389639329346,0.12887311744137,0.166762931176196,13.0315724008733,2.00000062387794,1.49999994913905,314.619375722307,4095.99653438024,0.185398012369169,0.245018782393443,0.985919553248993,0.998545495035487,0.948231151090345,0.26465680871155,1,1,-0.236890545817231,NA
"Caproic acid",3.38203046061571,1.08523068257018,0.338203046061571,0.0841796941339685,0.105314690036713,14.7927758912558,2.00000061305619,1.49999995595043,357.139858246828,4095.99699850101,0.156118746647338,0.1606481230801,0.58051784771011,0.81712082908338,0.908106841222355,0.895231689045677,1,1,-0.0278526995879188,NA
