"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"CAR(6:0)",4.96579834630279,1.34893877256485,0.496579834630279,1.21055119242002,1.39386749160141,-36.6622236048018,27.9999996705574,-1.48709035039391,-1.4210854715202e-13,1.07514951295958e-18,-0.389812014304556
"CAR(8:0)",4.29083901886495,1.02728854131983,0.429083901886495,0.754427235246416,1.11138093299261,6.448766802897,2.00000047081941,1.49999997296358,155.691650031276,4095.99815776189,-0.242874522135424
"CAR(DC5:0)",0.00497441711557656,0.969090451001267,0.000497441711557656,0.138696840617828,0.201857907732845,11.2394839545385,12.247770391304,0.144696596991471,99.6029972627714,6.61717297249264e-07,0.690150877703219
"Carnitine",1.45035395375453,1.03244083818428,0.145035395375453,0.286050066155197,0.402302705044218,0.00450939106434055,29.9891169513766,-1.0029891598026,1.78031882569485e-08,3.38037098885253e-15,0.375494222534808
"Carnosine",2.92307726104793,0.940689630585087,0.292307726104793,-0.35811720048085,-0.0385762137358815,15.9569751810843,2.00000052677053,1.49999996330774,401.125325969125,4095.99749982159,0.0548848752217256
"CDP",2.64661498694622,0.965486247863177,0.264661498694622,0.396156557551507,-0.204939155528809,12.7637058464276,2.00000063365147,1.49999997316994,320.853142251991,4095.99817182314,0.115070239857081
"CDP-Ethanolamine",3.31570802724181,1.28018384389407,0.331570802724181,1.6816644616465,2.27130765889303,3.42752571505065,4.6709324474366,0.398494139181969,73.2989699335105,4.51116424918914e-05,-0.0305901716258755
"CDP-Ribitol",3.69753864950479,1.06769624969491,0.369753864950479,0.0618833411929598,0.0543793640981171,2.58418596517917,28.9991709294381,-0.996544808677808,6.12503754382488e-08,3.76290277805696e-15,-0.113714045595702
"Cholesterol",2.89364985021232,1.00289794352307,0.289364985021232,0.0510233041735557,0.0619182919587486,15.5832489678986,2.00000038851049,1.49999996964484,407.242228393139,4095.99793162568,0.0612911722731765
"Choline",2.33800347074128,1.06649263203134,0.233800347074128,1.35082923383164,2.15513946627217,0.315154637556093,28.9984509340889,-0.939852004477435,2.60774726257296e-08,9.66301442999384e-15,0.182254439559607
"Cinnamate",1.82009487740232,1.1747946816719,0.182009487740232,0.0443177692080237,-0.434221141574985,10.1790631152052,2.40185305419872,0.666984944796175,258.432065052004,0.0039269873747984,0.295002255293851
"Citicoline",4.59729357538447,1.13419748260624,0.459729357538447,1.41349377120874,2.10661643638441,0.46192494585934,21.3374514969139,-0.165121129415754,0.935233148970511,3.82231253909382e-09,-0.309589155400387
"Citraconate",2.59687785017382,1.09172806531546,0.259687785017382,-0.368712430457922,-0.420180880802343,12.8396438752004,6.04981591083308,0.327923438505723,233.199345505475,1.39455322573461e-05,0.125897929538401
"Citrate",1.44172383409397,1.03068445656602,0.144172383409397,-1.0326671685313,-1.58866526432349,4.5656172420058,3.72803590085484,0.493953922069449,105.042083867825,0.000220779544255476,0.377372984837206
"Citrulline",2.42803283442072,1.06815083684888,0.242803283442072,-0.571110142084827,-0.789995884258868,13.592217127544,2.00000053721028,1.49999996578898,341.680203161314,4095.99766889109,0.162655200934585
"CMP",2.67414096076396,0.908287523885407,0.267414096076396,0.71624385140293,1.20280608963974,12.7334102842739,2.00000057820138,1.49999995743188,320.091575850413,4095.99709944574,0.10907788239512
"CoA",6.24977845230023,0.990064831804205,0.624977845230023,0.0488263826056813,-0.00328921832484359,4.69419085638525,29.2145295095189,-0.664197134450092,0.0965382085935857,9.47636656971431e-13,-0.66933228923208
"Creatine",2.749836377211,0.953890922955833,0.2749836377211,0.297857423199064,0.454203895210869,12.8980629063121,2.00000058025185,1.49999994966439,337.069363314591,4095.99657017656,0.092599119587815
"Creatinine",0.176629166284187,1.0409592990194,0.0176629166284187,0.26727777191209,0.372483291407556,15.0932530206526,27.4574744461342,-0.38578736208597,1.23836762452919,9.72914046529365e-11,0.652781932143932
"CTP",0.809762878426836,1.06963442539345,0.0809762878426836,-1.40483262294507,-2.27071078129015,1.31953574028998,14.1195060259209,0.0819967965844854,10.0752969860159,2.33176077204393e-07,0.51494980495025
"Cystathionine",27.1729068326001,0.920626356871951,2.71729068326001,0.416728703504821,0.66455367468097,2.08140469303814,25.1921323417654,-0.497239187095073,0.251956772417486,1.52358348350471e-11,-5.22426158283045
"Cysteine",2.68655446984783,1.04578831403744,0.268655446984783,0.00355807547830289,-0.0872791786103668,15.4378202191853,2.26422238885618,0.704737375028466,395.863460879246,0.00735885488539289,0.106375482680567
"Cysteinesulfinic acid",1.64077731310509,0.665097692690982,0.164077731310509,0.217176361127669,-0.816418181739704,9.24600550148745,2.45807845482757,0.663263931436456,215.428545540064,0.00369127350773506,0.334039382611924
"Cystine",0.638644054093805,1.16843908716214,0.0638644054093805,0.0261803367561289,-0.79210743744049,8.12488028625865,3.20485862512391,0.554088782382646,186.420984723197,0.000600366366347048,0.552202080588654
"Cytidine",2.40333280915558,1.02124433296802,0.240333280915558,0.448555736872102,0.644159814220544,8.08678943185005,3.16542894576077,0.56473144670422,194.108339871157,0.000716649204170664,0.168032354225808
"Cytosine",4.67171809950607,1.07983050034955,0.467171809950607,0.437540606319753,0.0725787189652496,-43.5672023329297,29.999997788047,-1.49979935576505,-7.105427357601e-12,8.70261675565358e-19,-0.325791247120227
"Deoxyuridine",3.01189492395537,1.138504918627,0.301189492395537,0.351131014995632,0.226572186666224,15.9116457527602,2.00000056026295,1.49999995841619,399.98583697821,4095.9971665161,0.0355494217841331
